iter	Passed	Remaining
0	35	7111
1	74	7366
2	111	7306
3	147	7226
4	185	7218
5	221	7148
6	258	7119
7	291	6984
8	311	6609
9	331	6298
10	348	5995
11	367	5756
12	388	5588
13	408	5433
14	428	5288
15	448	5156
16	469	5053
17	489	4944
18	509	4850
19	527	4750
20	547	4665
21	559	4529
22	578	4451
23	597	4385
24	616	4318
25	637	4264
26	656	4205
27	677	4160
28	695	4103
29	716	4059
30	734	4005
31	753	3954
32	771	3904
33	790	3857
34	808	3813
35	827	3768
36	847	3732
37	865	3689
38	885	3653
39	904	3616
40	924	3583
41	942	3547
42	961	3511
43	983	3487
44	1004	3458
45	1023	3425
46	1042	3392
47	1061	3362
48	1084	3343
49	1105	3315
50	1123	3283
51	1143	3255
52	1150	3190
53	1168	3159
54	1188	3132
55	1206	3102
56	1224	3071
57	1242	3041
58	1261	3015
59	1279	2986
60	1299	2960
61	1319	2936
62	1338	2909
63	1357	2884
64	1376	2859
65	1394	2831
66	1412	2804
67	1433	2781
68	1452	2758
69	1471	2733
70	1491	2709
71	1510	2684
72	1525	2654
73	1544	2629
74	1554	2590
75	1574	2569
76	1595	2548
77	1613	2524
78	1632	2500
79	1651	2476
80	1667	2450
81	1685	2425
82	1705	2403
83	1724	2381
84	1743	2358
85	1762	2336
86	1780	2312
87	1798	2289
88	1817	2266
89	1836	2244
90	1855	2222
91	1874	2200
92	1894	2179
93	1913	2157
94	1932	2135
95	1951	2114
96	1975	2097
97	1995	2077
98	2006	2046
99	2019	2019
100	2037	1997
101	2057	1976
102	2077	1956
103	2096	1935
104	2114	1913
105	2133	1892
106	2152	1871
107	2172	1850
108	2193	1830
109	2212	1809
110	2222	1781
111	2243	1762
112	2261	1741
113	2270	1712
114	2290	1692
115	2309	1672
116	2327	1651
117	2346	1630
118	2366	1610
119	2386	1590
120	2403	1569
121	2421	1548
122	2441	1528
123	2459	1507
124	2477	1486
125	2498	1467
126	2517	1447
127	2537	1427
128	2556	1407
129	2576	1387
130	2595	1367
131	2614	1346
132	2633	1326
133	2642	1301
134	2662	1282
135	2681	1261
136	2701	1242
137	2719	1221
138	2739	1202
139	2758	1182
140	2777	1162
141	2796	1142
142	2809	1119
143	2829	1100
144	2848	1080
145	2868	1060
146	2880	1038
147	2899	1018
148	2919	999
149	2938	979
150	2957	959
151	2976	939
152	2996	920
153	3016	900
154	3035	881
155	3053	861
156	3073	841
157	3093	822
158	3113	802
159	3132	783
160	3151	763
161	3169	743
162	3186	723
163	3205	703
164	3223	683
165	3243	664
166	3261	644
167	3281	624
168	3299	605
169	3307	583
170	3327	564
171	3346	544
172	3365	525
173	3384	505
174	3404	486
175	3422	466
176	3441	447
177	3461	427
178	3480	408
179	3498	388
180	3519	369
181	3539	350
182	3559	330
183	3579	311
184	3599	291
185	3618	272
186	3637	252
187	3655	233
188	3674	213
189	3694	194
190	3713	174
191	3732	155
192	3751	136
193	3769	116
194	3789	97
195	3809	77
196	3827	58
197	3846	38
198	3867	19
199	3886	0
